date,fighter a,fighter b,result
"May 13, 2023",Mandy Bohm,Ji Yeon Kim,win
"May 13, 2023",Bryan Battle,Gabe Green,win
"May 13, 2023",Tainara Lisboa,Jessica-Rose Clark,win
"May 06, 2023",Aljamain Sterling,Henry Cejudo,win
"May 06, 2023",Belal Muhammad,Gilbert Burns,win
"May 06, 2023",Yan Xiaonan,Jessica Andrade,win
"May 06, 2023",Movsar Evloev,Diego Lopes,win
"May 06, 2023",Charles Jourdain,Kron Gracie,win
"May 06, 2023",Matt Frevola,Drew Dober,win
"May 06, 2023",Kennedy Nzechukwu,Devin Clark,win
"May 06, 2023",Khaos Williams,Rolando Bedoya,win
"May 06, 2023",Virna Jandiroba,Marina Rodriguez,win
"May 06, 2023",Parker Porter,Braxton Smith,win
"May 06, 2023",Ikram Aliskerov,Phil Hawes,win
"May 06, 2023",Claudio Ribeiro,Joseph Holmes,win
"April 29, 2023",Song Yadong,Ricky Simon,win
"April 29, 2023",Caio Borralho,Michal Oleksiejczuk,win
"April 29, 2023",Rodolfo Vieira,Cody Brundage,win
"April 29, 2023",Fernando Padilla,Julian Erosa,win
"April 29, 2023",Marcos Rogerio de Lima,Waldo Cortes Acosta,win
"April 29, 2023",Trey Waters,Josh Quinlan,win
"April 29, 2023",Martin Buday,Jake Collier,win
"April 29, 2023",Cody Durden,Charles Johnson,win
"April 29, 2023",Irina Alekseeva,Stephanie Egger,win
"April 29, 2023",Marcus McGhee,Journey Newson,win
"April 29, 2023",Jamey-Lyn Horth,Hailey Cowan,win
"April 22, 2023",Sergei Pavlovich,Curtis Blaydes,win
"April 22, 2023",Bruno Silva,Brad Tavares,win
"April 22, 2023",King Green,Jared Gordon,nc
"April 22, 2023",Iasmin Lucindo,Brogan Walker,win
"April 22, 2023",Jeremiah Wells,Matthew Semelsberger,win
"April 22, 2023",Christos Giagos,Ricky Glenn,win
"April 22, 2023",Montel Jackson,Rani Yahya,win
"April 22, 2023",Norma Dumont,Karol Rosa,win
"April 22, 2023",Mohammed Usman,Junior Tafa,win
"April 22, 2023",William Gomis,Francis Marshall,win
"April 22, 2023",Brady Hiestand,Batgerel Danaa,win
"April 15, 2023",Max Holloway,Arnold Allen,win
"April 15, 2023",Edson Barboza,Billy Quarantillo,win
"April 15, 2023",Azamat Murzakanov,Dustin Jacoby,win
"April 15, 2023",Ion Cutelaba,Tanner Boser,win
"April 15, 2023",Pedro Munhoz,Chris Gutierrez,win
"April 15, 2023",Rafa Garcia,Clay Guida,win
"April 15, 2023",Bill Algeo,TJ Brown,win
"April 15, 2023",Brandon Royval,Matheus Nicolau,win
"April 15, 2023",Zak Cummings,Ed Herman,win
"April 15, 2023",Gillian Robertson,Piera Rodriguez,win
"April 15, 2023",Daniel Zellhuber,Lando Vannata,win
"April 15, 2023",Denise Gomes,Bruna Brasil,win
"April 15, 2023",Gaston Bolanos,Aaron Phillips,win
"April 15, 2023",Joselyne Edwards,Lucie Pudilova,win
"April 08, 2023",Israel Adesanya,Alex Pereira,win
"April 08, 2023",Gilbert Burns,Jorge Masvidal,win
"April 08, 2023",Rob Font,Adrian Yanez,win
"April 08, 2023",Kevin Holland,Santiago Ponzinibbio,win
"April 08, 2023",Christian Rodriguez,Raul Rosas Jr.,win
"April 08, 2023",Kelvin Gastelum,Chris Curtis,win
"April 08, 2023",Luana Pinheiro,Michelle Waterson-Gomez,win
"April 08, 2023",Joe Pyfer,Gerald Meerschaert,win
"April 08, 2023",Loopy Godinez,Cynthia Calvillo,win
"April 08, 2023",Ignacio Bahamondes,Trey Ogden,win
"April 08, 2023",Steve Garcia,Shayilan Nuerdanbieke,win
"April 08, 2023",Sam Hughes,Jaqueline Amorim,win
"March 25, 2023",Cory Sandhagen,Marlon Vera,win
"March 25, 2023",Holly Holm,Yana Santos,win
"March 25, 2023",Nate Landwehr,Austin Lingo,win
"March 25, 2023",Maycee Barber,Andrea Lee,win
"March 25, 2023",Albert Duraev,Chidi Njokuani,win
"March 25, 2023",Daniel Pineda,Tucker Lutz,win
"March 25, 2023",Lucas Alexander,Steven Peterson,win
"March 25, 2023",Trevin Giles,Preston Parsons,win
"March 25, 2023",CJ Vergara,Daniel Lacerda,win
"March 25, 2023",Victor Altamirano,Vinicius Salvador,win
"March 18, 2023",Leon Edwards,Kamaru Usman,win
"March 18, 2023",Justin Gaethje,Rafael Fiziev,win
"March 18, 2023",Gunnar Nelson,Bryan Barberena,win
"March 18, 2023",Jennifer Maia,Casey O'Neill,win
"March 18, 2023",Marvin Vettori,Roman Dolidze,win
"March 18, 2023",Jack Shore,Makwan Amirkhani,win
"March 18, 2023",Chris Duncan,Omar Morales,win
"March 18, 2023",Yanal Ashmouz,Sam Patterson,win
"March 18, 2023",Muhammad Mokaev,Jafel Filho,win
"March 18, 2023",Lerone Murphy,Gabriel Santos,win
"March 18, 2023",Christian Leroy Duncan,Dusko Todorovic,win
"March 18, 2023",Jake Hadley,Malcolm Gordon,win
"March 18, 2023",Joanne Wood,Luana Carolina,win
"March 18, 2023",Jai Herbert,Ludovit Klein,draw
"March 18, 2023",Veronica Hardy,Juliana Miller,win
"March 11, 2023",Merab Dvalishvili,Petr Yan,win
"March 11, 2023",Alexander Volkov,Alexandr Romanov,win
"March 11, 2023",Nikita Krylov,Ryan Spann,win
"March 11, 2023",Jonathan Martinez,Said Nurmagomedov,win
"March 11, 2023",Mario Bautista,Guido Cannetti,win
"March 11, 2023",Vitor Petrino,Anton Turkalj,win
"March 11, 2023",Karl Williams,Lukasz Brzeski,win
"March 11, 2023",Davey Grant,Raphael Assuncao,win
"March 11, 2023",Josh Fremd,Sedriques Dumas,win
"March 11, 2023",Victor Henry,Tony Gravely,win
"March 11, 2023",Ariane da Silva,JJ Aldrich,win
"March 11, 2023",Bruno Silva,Tyson Nam,win
"March 11, 2023",Carlston Harris,Jared Gooden,win
"March 04, 2023",Jon Jones,Ciryl Gane,win
"March 04, 2023",Alexa Grasso,Valentina Shevchenko,win
"March 04, 2023",Shavkat Rakhmonov,Geoff Neal,win
"March 04, 2023",Mateusz Gamrot,Jalin Turner,win
"March 04, 2023",Bo Nickal,Jamie Pickett,win
"March 04, 2023",Cody Garbrandt,Trevin Jones,win
"March 04, 2023",Dricus Du Plessis,Derek Brunson,win
"March 04, 2023",Amanda Ribas,Viviane Araujo,win
"March 04, 2023",Marc-Andre Barriault,Julian Marquez,win
"March 04, 2023",Ian Machado Garry,Song Kenan,win
"March 04, 2023",Cameron Saaiman,Mana Martinez,win
"March 04, 2023",Tabatha Ricci,Jessica Penne,win
"March 04, 2023",Farid Basharat,Da'Mon Blackshear,win
"March 04, 2023",Loik Radzhabov,Esteban Ribovics,win
"February 25, 2023",Brendan Allen,Andre Muniz,win
"February 25, 2023",Augusto Sakai,Don'Tale Mayes,win
"February 25, 2023",Tatiana Suarez,Montana De La Rosa,win
"February 25, 2023",Mike Malott,Yohan Lainesse,win
"February 25, 2023",Trevor Peek,Erick Gonzalez,win
"February 25, 2023",Jasmine Jasudavicius,Gabriella Fernandes,win
"February 25, 2023",Jordan Leavitt,Victor Martinez,win
"February 25, 2023",Ode Osbourne,Charles Johnson,win
"February 25, 2023",Joe Solecki,Carl Deaton,win
"February 25, 2023",Nurullo Aliev,Rafael Alves,win
"February 18, 2023",Erin Blanchfield,Jessica Andrade,win
"February 18, 2023",Zac Pauga,Jordan Wright,win
"February 18, 2023",Jamal Pogues,Josh Parisian,win
"February 18, 2023",Marcin Prachnio,William Knight,win
"February 18, 2023",Alexander Hernandez,Jim Miller,win
"February 18, 2023",Nazim Sadykhov,Evan Elder,win
"February 18, 2023",Mayra Bueno Silva,Lina Lansberg,win
"February 18, 2023",Jamall Emmers,Khusein Askhabov,win
"February 18, 2023",Philipe Lins,Ovince Saint Preux,win
"February 18, 2023",AJ Fletcher,Themba Gorimbo,win
"February 18, 2023",Clayton Carpenter,Juancamilo Ronderos,win
"February 11, 2023",Islam Makhachev,Alexander Volkanovski,win
"February 11, 2023",Yair Rodriguez,Josh Emmett,win
"February 11, 2023",Jack Della Maddalena,Randy Brown,win
"February 11, 2023",Justin Tafa,Parker Porter,win
"February 11, 2023",Jimmy Crute,Alonzo Menifield,draw
"February 11, 2023",Modestas Bukauskas,Tyson Pedro,win
"February 11, 2023",Josh Culibao,Melsik Baghdasaryan,win
"February 11, 2023",Kleydson Rodrigues,Shannon Ross,win
"February 11, 2023",Jamie Mullarkey,Francisco Prado,win
"February 11, 2023",Jack Jenkins,Don Shainis,win
"February 11, 2023",Loma Lookboonmee,Elise Reed,win
"February 11, 2023",Blake Bilder,Shane Young,win
"February 11, 2023",Elves Brener,Zubaira Tukhugov,win
"February 04, 2023",Serghei Spivac,Derrick Lewis,win
"February 04, 2023",Devin Clark,Da Woon Jung,win
"February 04, 2023",Marcin Tybura,Blagoy Ivanov,win
"February 04, 2023",Dooho Choi,Kyle Nelson,draw
"February 04, 2023",Adam Fugitt,Yusaku Kinoshita,win
"February 04, 2023",Anshul Jubli,Jeka Saragih,win
"February 04, 2023",JeongYeong Lee,Yizha,win
"February 04, 2023",Rinya Nakamura,Toshiomi Kazama,win
"February 04, 2023",HyunSung Park,SeungGuk Choi,win
"February 04, 2023",JunYong Park,Denis Tiuliulin,win
"February 04, 2023",Tatsuro Taira,Jesus Aguilar,win
"January 21, 2023",Jamahal Hill,Glover Teixeira,win
"January 21, 2023",Brandon Moreno,Deiveson Figueiredo,win
"January 21, 2023",Gilbert Burns,Neil Magny,win
"January 21, 2023",Jessica Andrade,Lauren Murphy,win
"January 21, 2023",Johnny Walker,Paul Craig,win
"January 21, 2023",Ihor Potieria,Mauricio Rua,win
"January 21, 2023",Brunno Ferreira,Gregory Rodrigues,win
"January 21, 2023",Thiago Moises,Melquizael Costa,win
"January 21, 2023",Gabriel Bonfim,Mounir Lazzez,win
"January 21, 2023",Jailton Almeida,Shamil Abdurakhimov,win
"January 21, 2023",Cody Stamann,Luan Lacerda,win
"January 21, 2023",Ismael Bonfim,Terrance McKinney,win
"January 21, 2023",Nicolas Dalby,Warlley Alves,win
"January 21, 2023",Josiane Nunes,Zarah Fairn,win
"January 21, 2023",Daniel Marcos,Saimon Oliveira,win
"January 14, 2023",Sean Strickland,Nassourdine Imavov,win
"January 14, 2023",Dan Ige,Damon Jackson,win
"January 14, 2023",Roman Kopylov,Punahele Soriano,win
"January 14, 2023",Raquel Pennington,Ketlen Vieira,win
"January 14, 2023",Umar Nurmagomedov,Raoni Barcelos,win
"January 14, 2023",Javid Basharat,Mateus Mendonca,win
"January 14, 2023",Abdul Razak Alhassan,Claudio Ribeiro,win
"January 14, 2023",Mateusz Rebecki,Nick Fiore,win
"January 14, 2023",Allan Nascimento,Carlos Hernandez,win
"January 14, 2023",Dan Argueta,Nick Aguirre,win
"January 14, 2023",Charles Johnson,Jimmy Flick,win
"December 17, 2022",Jared Cannonier,Sean Strickland,win
"December 17, 2022",Arman Tsarukyan,Damir Ismagulov,win
"December 17, 2022",Amir Albazi,Alessandro Costa,win
"December 17, 2022",Alex Caceres,Julian Erosa,win
"December 17, 2022",Drew Dober,King Green,win
"December 17, 2022",Michal Oleksiejczuk,Cody Brundage,win
"December 17, 2022",Cory McKenna,Cheyanne Vlismas,win
"December 17, 2022",Matthew Semelsberger,Jake Matthews,win
"December 17, 2022",Said Nurmagomedov,Saidyokub Kakhramonov,win
"December 17, 2022",Rafa Garcia,Maheshate,win
"December 17, 2022",Rinat Fakhretdinov,Bryan Battle,win
"December 17, 2022",Manel Kape,David Dvorak,win
"December 17, 2022",Sergey Morozov,Journey Newson,win
"December 10, 2022",Jan Blachowicz,Magomed Ankalaev,draw
"December 10, 2022",Paddy Pimblett,Jared Gordon,win
"December 10, 2022",Santiago Ponzinibbio,Alex Morono,win
"December 10, 2022",Dricus Du Plessis,Darren Till,win
"December 10, 2022",Ilia Topuria,Bryce Mitchell,win
"December 10, 2022",Raul Rosas Jr.,Jay Perrin,win
"December 10, 2022",Jairzinho Rozenstruik,Chris Daukaus,win
"December 10, 2022",Edmen Shahbazyan,Dalcha Lungiambula,win
"December 10, 2022",Chris Curtis,Joaquin Buckley,win
"December 10, 2022",Billy Quarantillo,Alexander Hernandez,win
"December 10, 2022",TJ Brown,Erik Silva,win
"December 10, 2022",Cameron Saaiman,Steven Koslow,win
"December 03, 2022",Stephen Thompson,Kevin Holland,win
"December 03, 2022",Rafael Dos Anjos,Bryan Barberena,win
"December 03, 2022",Matheus Nicolau,Matt Schnell,win
"December 03, 2022",Sergei Pavlovich,Tai Tuivasa,win
"December 03, 2022",Roman Dolidze,Jack Hermansson,win
"December 03, 2022",Eryk Anders,Kyle Daukaus,win
"December 03, 2022",Phil Rowe,Niko Price,win
"December 03, 2022",Angela Hill,Emily Ducote,win
"December 03, 2022",Clay Guida,Scott Holtzman,win
"December 03, 2022",Michael Johnson,Marc Diakiese,win
"December 03, 2022",Jonathan Pearce,Darren Elkins,win
"December 03, 2022",Natan Levy,Genaro Valdez,win
"December 03, 2022",Francis Marshall,Marcelo Rojo,win
"December 03, 2022",Yazmin Jauregui,Istela Nunes,win
"November 19, 2022",Kennedy Nzechukwu,Ion Cutelaba,win
"November 19, 2022",Waldo Cortes Acosta,Chase Sherman,win
"November 19, 2022",Muslim Salikhov,Andre Fialho,win
"November 19, 2022",Jack Della Maddalena,Danny Roberts,win
"November 19, 2022",Charles Johnson,Zhalgas Zhumagulov,win
"November 19, 2022",Jennifer Maia,Maryna Moroz,win
"November 19, 2022",Miles Johns,Vince Morales,win
"November 19, 2022",Ricky Turcios,Kevin Natividad,win
"November 19, 2022",Vanessa Demopoulos,Maria Oliveira,win
"November 19, 2022",Brady Hiestand,Fernie Garcia,win
"November 19, 2022",Natalia Silva,Tereza Bleda,win
"November 12, 2022",Alex Pereira,Israel Adesanya,win
"November 12, 2022",Zhang Weili,Carla Esparza,win
"November 12, 2022",Dustin Poirier,Michael Chandler,win
"November 12, 2022",Chris Gutierrez,Frankie Edgar,win
"November 12, 2022",Dan Hooker,Claudio Puelles,win
"November 12, 2022",Renato Moicano,Brad Riddell,win
"November 12, 2022",Ryan Spann,Dominick Reyes,win
"November 12, 2022",Erin Blanchfield,Molly McCann,win
"November 12, 2022",Andre Petroski,Wellington Turman,win
"November 12, 2022",Matt Frevola,Ottman Azaitar,win
"November 12, 2022",Karolina Kowalkiewicz,Silvana Gomez Juarez,win
"November 12, 2022",Michael Trizano,SeungWoo Choi,win
"November 12, 2022",Montel Jackson,Julio Arce,win
"November 12, 2022",Carlos Ulberg,Nicolae Negumereanu,win
"November 05, 2022",Amanda Lemos,Marina Rodriguez,win
"November 05, 2022",Neil Magny,Daniel Rodriguez,win
"November 05, 2022",Shayilan Nuerdanbieke,Darrick Minner,win
"November 05, 2022",Tagir Ulanbekov,Nate Maness,win
"November 05, 2022",Grant Dawson,Mark Madsen,win
"November 05, 2022",Miranda Maverick,Shanna Young,win
"November 05, 2022",Mario Bautista,Benito Lopez,win
"November 05, 2022",Polyana Viana,Jinh Yu Frey,win
"November 05, 2022",Johnny Munoz,Liudvik Sholinian,win
"November 05, 2022",Jake Hadley,Carlos Candelario,win
"November 05, 2022",Tamires Vidal,Ramona Pascual,win
"October 29, 2022",Arnold Allen,Calvin Kattar,win
"October 29, 2022",Max Griffin,Tim Means,win
"October 29, 2022",Waldo Cortes Acosta,Jared Vanderaa,win
"October 29, 2022",Tresean Gore,Josh Fremd,win
"October 29, 2022",Khalil Rountree Jr.,Dustin Jacoby,win
"October 29, 2022",Roman Dolidze,Phil Hawes,win
"October 29, 2022",Marcos Rogerio de Lima,Andrei Arlovski,win
"October 29, 2022",JunYong Park,Joseph Holmes,win
"October 29, 2022",Steve Garcia,Chase Hooper,win
"October 29, 2022",Cody Durden,Carlos Mota,win
"October 29, 2022",Christian Rodriguez,Joshua Weems,win
"October 22, 2022",Islam Makhachev,Charles Oliveira,win
"October 22, 2022",Aljamain Sterling,TJ Dillashaw,win
"October 22, 2022",Sean O'Malley,Petr Yan,win
"October 22, 2022",Beneil Dariush,Mateusz Gamrot,win
"October 22, 2022",Manon Fiorot,Katlyn Cerminara,win
"October 22, 2022",Belal Muhammad,Sean Brady,win
"October 22, 2022",Caio Borralho,Makhmud Muradov,win
"October 22, 2022",Nikita Krylov,Volkan Oezdemir,win
"October 22, 2022",Abubakar Nurmagomedov,Gadzhi Omargadzhiev,win
"October 22, 2022",Armen Petrosyan,AJ Dobson,win
"October 22, 2022",Muhammad Mokaev,Malcolm Gordon,win
"October 22, 2022",Karol Rosa,Lina Lansberg,win
"October 15, 2022",Alexa Grasso,Viviane Araujo,win
"October 15, 2022",Jonathan Martinez,Cub Swanson,win
"October 15, 2022",Dusko Todorovic,Jordan Wright,win
"October 15, 2022",Raphael Assuncao,Victor Henry,win
"October 15, 2022",Alonzo Menifield,Misha Cirkunov,win
"October 15, 2022",Mana Martinez,Brandon Davis,win
"October 15, 2022",Jacob Malkoun,Nick Maximov,win
"October 15, 2022",Joanderson Brito,Lucas Alexander,win
"October 15, 2022",Piera Rodriguez,Sam Hughes,win
"October 15, 2022",Tatsuro Taira,CJ Vergara,win
"October 15, 2022",Pete Rodriguez,Mike Jackson,win
"October 01, 2022",Yan Xiaonan,Mackenzie Dern,win
"October 01, 2022",Randy Brown,Francisco Trinaldo,win
"October 01, 2022",Raoni Barcelos,Trevin Jones,win
"October 01, 2022",Sodiq Yusuff,Don Shainis,win
"October 01, 2022",Mike Davis,Viacheslav Borshchev,win
"October 01, 2022",Daniel Santos,John Castaneda,win
"October 01, 2022",Ilir Latifi,Aleksei Oleinik,win
"October 01, 2022",Joaquim Silva,Jesse Ronson,win
"October 01, 2022",Brendan Allen,Krzysztof Jotko,win
"October 01, 2022",Chelsea Chandler,Julija Stoliarenko,win
"October 01, 2022",Guido Cannetti,Randy Costa,win
"September 17, 2022",Cory Sandhagen,Song Yadong,win
"September 17, 2022",Gregory Rodrigues,Chidi Njokuani,win
"September 17, 2022",Andre Fili,Bill Algeo,win
"September 17, 2022",Joe Pyfer,Alen Amedovski,win
"September 17, 2022",Rodrigo Nascimento,Tanner Boser,win
"September 17, 2022",Anthony Hernandez,Marc-Andre Barriault,win
"September 17, 2022",Damon Jackson,Pat Sabatini,win
"September 17, 2022",Trevin Giles,Louis Cosce,win
"September 17, 2022",Loma Lookboonmee,Denise Gomes,win
"September 17, 2022",Trey Ogden,Daniel Zellhuber,win
"September 17, 2022",Gillian Robertson,Mariya Agapova,win
"September 17, 2022",Javid Basharat,Tony Gravely,win
"September 17, 2022",Nikolas Motta,Cameron VanCamp,win
"September 10, 2022",Nate Diaz,Tony Ferguson,win
"September 10, 2022",Khamzat Chimaev,Kevin Holland,win
"September 10, 2022",Daniel Rodriguez,Li Jingliang,win
"September 10, 2022",Irene Aldana,Macy Chiasson,win
"September 10, 2022",Johnny Walker,Ion Cutelaba,win
"September 10, 2022",Julian Erosa,Hakeem Dawodu,win
"September 10, 2022",Jailton Almeida,Anton Turkalj,win
"September 10, 2022",Denis Tiuliulin,Jamie Pickett,win
"September 10, 2022",Chris Barnett,Jake Collier,win
"September 10, 2022",Norma Dumont,Danyelle Wolf,win
"September 10, 2022",Alatengheili,Chad Anheliger,win
"September 10, 2022",Elise Reed,Melissa Martinez,win
"September 10, 2022",Yohan Lainesse,Darian Weeks,win
"September 03, 2022",Ciryl Gane,Tai Tuivasa,win
"September 03, 2022",Robert Whittaker,Marvin Vettori,win
"September 03, 2022",Nassourdine Imavov,Joaquin Buckley,win
"September 03, 2022",Roman Kopylov,Alessio Di Chirico,win
"September 03, 2022",William Gomis,Jarno Errens,win
"September 03, 2022",Nathaniel Wood,Charles Jourdain,win
"September 03, 2022",Abus Magomedov,Dustin Stoltzfus,win
"September 03, 2022",Nasrat Haqparast,John Makdessi,win
"September 03, 2022",Fares Ziam,Michal Figlak,win
"September 03, 2022",Benoit Saint Denis,Gabriel Miranda,win
"September 03, 2022",Cristian Quinonez,Khalid Taha,win
"September 03, 2022",Stephanie Egger,Ailin Perez,win
"August 20, 2022",Leon Edwards,Kamaru Usman,win
"August 20, 2022",Paulo Costa,Luke Rockhold,win
"August 20, 2022",Merab Dvalishvili,Jose Aldo,win
"August 20, 2022",Lucie Pudilova,Wu Yanan,win
"August 20, 2022",Tyson Pedro,Harry Hunsucker,win
"August 20, 2022",Marcin Tybura,Alexandr Romanov,win
"August 20, 2022",Jared Gordon,Leonardo Santos,win
"August 20, 2022",Sean Woodson,Luis Saldana,draw
"August 20, 2022",Ange Loosa,AJ Fletcher,win
"August 20, 2022",Amir Albazi,Francisco Figueiredo,win
"August 20, 2022",Aoriqileng,Jay Perrin,win
"August 20, 2022",Victor Altamirano,Daniel Lacerda,win
"August 13, 2022",Marlon Vera,Dominick Cruz,win
"August 13, 2022",Nate Landwehr,David Onama,win
"August 13, 2022",Yazmin Jauregui,Iasmin Lucindo,win
"August 13, 2022",Azamat Murzakanov,Devin Clark,win
"August 13, 2022",Priscila Cachoeira,Ariane da Silva,win
"August 13, 2022",Gerald Meerschaert,Bruno Silva,win
"August 13, 2022",Angela Hill,Loopy Godinez,win
"August 13, 2022",Martin Buday,Lukasz Brzeski,win
"August 13, 2022",Nina Nunes,Cynthia Calvillo,win
"August 13, 2022",Gabriel Benitez,Charlie Ontiveros,win
"August 13, 2022",Tyson Nam,Ode Osbourne,win
"August 13, 2022",Josh Quinlan,Jason Witt,win
"August 13, 2022",Youssef Zalal,Da'Mon Blackshear,draw
"August 06, 2022",Jamahal Hill,Thiago Santos,win
"August 06, 2022",Geoff Neal,Vicente Luque,win
"August 06, 2022",Mohammed Usman,Zac Pauga,win
"August 06, 2022",Juliana Miller,Brogan Walker,win
"August 06, 2022",Serghei Spivac,Augusto Sakai,win
"August 06, 2022",Terrance McKinney,Erick Gonzalez,win
"August 06, 2022",Michal Oleksiejczuk,Sam Alvey,win
"August 06, 2022",Bryan Battle,Takashi Sato,win
"August 06, 2022",Cory McKenna,Miranda Granger,win
"August 06, 2022",Mayra Bueno Silva,Stephanie Egger,win
"July 30, 2022",Amanda Nunes,Julianna Pena,win
"July 30, 2022",Brandon Moreno,Kai Kara-France,win
"July 30, 2022",Sergei Pavlovich,Derrick Lewis,win
"July 30, 2022",Alexandre Pantoja,Alex Perez,win
"July 30, 2022",Magomed Ankalaev,Anthony Smith,win
"July 30, 2022",Alex Morono,Matthew Semelsberger,win
"July 30, 2022",Drew Dober,Rafael Alves,win
"July 30, 2022",Don'Tale Mayes,Hamdy Abdelwahab,nc
"July 30, 2022",Drakkar Klose,Rafa Garcia,win
"July 30, 2022",Michael Morales,Adam Fugitt,win
"July 30, 2022",Joselyne Edwards,Ji Yeon Kim,win
"July 30, 2022",Nicolae Negumereanu,Ihor Potieria,win
"July 30, 2022",Orion Cosce,Blood Diamond,win
"July 23, 2022",Curtis Blaydes,Tom Aspinall,win
"July 23, 2022",Jack Hermansson,Chris Curtis,win
"July 23, 2022",Paddy Pimblett,Jordan Leavitt,win
"July 23, 2022",Nikita Krylov,Alexander Gustafsson,win
"July 23, 2022",Molly McCann,Hannah Goldy,win
"July 23, 2022",Volkan Oezdemir,Paul Craig,win
"July 23, 2022",Ludovit Klein,Mason Jones,win
"July 23, 2022",Marc Diakiese,Damir Hadzovic,win
"July 23, 2022",Nathaniel Wood,Charles Rosa,win
"July 23, 2022",Jonathan Pearce,Makwan Amirkhani,win
"July 23, 2022",Muhammad Mokaev,Charles Johnson,win
"July 23, 2022",Jai Herbert,Kyle Nelson,win
"July 23, 2022",Victoria Leonardo,Mandy Bohm,win
"July 23, 2022",Nicolas Dalby,Claudio Silva,win
"July 16, 2022",Yair Rodriguez,Brian Ortega,win
"July 16, 2022",Amanda Lemos,Michelle Waterson-Gomez,win
"July 16, 2022",Li Jingliang,Muslim Salikhov,win
"July 16, 2022",Matt Schnell,Sumudaerji,win
"July 16, 2022",Shane Burgos,Charles Jourdain,win
"July 16, 2022",Lauren Murphy,Miesha Tate,win
"July 16, 2022",Punahele Soriano,Dalcha Lungiambula,win
"July 16, 2022",Ricky Simon,Jack Shore,win
"July 16, 2022",Bill Algeo,Herbert Burns,win
"July 16, 2022",Dustin Jacoby,Da Woon Jung,win
"July 16, 2022",Dustin Stoltzfus,Dwight Grant,win
"July 16, 2022",Emily Ducote,Jessica Penne,win
"July 09, 2022",Rafael Fiziev,Rafael Dos Anjos,win
"July 09, 2022",Caio Borralho,Armen Petrosyan,win
"July 09, 2022",Said Nurmagomedov,Douglas Silva de Andrade,win
"July 09, 2022",Chase Sherman,Jared Vanderaa,win
"July 09, 2022",Aiemann Zahabi,Ricky Turcios,win
"July 09, 2022",Jamie Mullarkey,Michael Johnson,win
"July 09, 2022",Cody Brundage,Tresean Gore,win
"July 09, 2022",Antonina Shevchenko,Cortney Casey,win
"July 09, 2022",David Onama,Garrett Armfield,win
"July 09, 2022",Kennedy Nzechukwu,Karl Roberson,win
"July 09, 2022",Saidyokub Kakhramonov,Ronnie Lawrence,win
"July 02, 2022",Israel Adesanya,Jared Cannonier,win
"July 02, 2022",Alexander Volkanovski,Max Holloway,win
"July 02, 2022",Alex Pereira,Sean Strickland,win
"July 02, 2022",Bryan Barberena,Robbie Lawler,win
"July 02, 2022",Pedro Munhoz,Sean O'Malley,nc
"July 02, 2022",Jalin Turner,Brad Riddell,win
"July 02, 2022",Jim Miller,Donald Cerrone,win
"July 02, 2022",Ian Machado Garry,Gabe Green,win
"July 02, 2022",Dricus Du Plessis,Brad Tavares,win
"July 02, 2022",Andre Muniz,Uriah Hall,win
"July 02, 2022",Maycee Barber,Jessica Eye,win
"July 02, 2022",Julija Stoliarenko,Jessica-Rose Clark,win
"June 25, 2022",Mateusz Gamrot,Arman Tsarukyan,win
"June 25, 2022",Shavkat Rakhmonov,Neil Magny,win
"June 25, 2022",Josh Parisian,Alan Baudot,win
"June 25, 2022",Thiago Moises,Christos Giagos,win
"June 25, 2022",Umar Nurmagomedov,Nate Maness,win
"June 25, 2022",Chris Curtis,Rodolfo Vieira,win
"June 25, 2022",Carlos Ulberg,Tafon Nchukwi,win
"June 25, 2022",Shayilan Nuerdanbieke,TJ Brown,win
"June 25, 2022",Sergey Morozov,Raulian Paiva,win
"June 25, 2022",Cody Durden,JP Buys,win
"June 25, 2022",Mario Bautista,Brian Kelleher,win
"June 25, 2022",Vanessa Demopoulos,Jinh Yu Frey,win
"June 18, 2022",Josh Emmett,Calvin Kattar,win
"June 18, 2022",Kevin Holland,Tim Means,win
"June 18, 2022",Joaquin Buckley,Albert Duraev,win
"June 18, 2022",Damir Ismagulov,Guram Kutateladze,win
"June 18, 2022",Gregory Rodrigues,Julian Marquez,win
"June 18, 2022",Adrian Yanez,Tony Kelley,win
"June 18, 2022",Natalia Silva,Jasmine Jasudavicius,win
"June 18, 2022",Jeremiah Wells,Court McGee,win
"June 18, 2022",Ricardo Ramos,Danny Chavez,win
"June 18, 2022",Maria Oliveira,Gloria de Paula,win
"June 18, 2022",Cody Stamann,Eddie Wineland,win
"June 18, 2022",Phil Hawes,Deron Winn,win
"June 18, 2022",Roman Dolidze,Kyle Daukaus,win
"June 11, 2022",Jiri Prochazka,Glover Teixeira,win
"June 11, 2022",Valentina Shevchenko,Taila Santos,win
"June 11, 2022",Zhang Weili,Joanna Jedrzejczyk,win
"June 11, 2022",Jake Matthews,Andre Fialho,win
"June 11, 2022",Jack Della Maddalena,Ramazan Emeev,win
"June 11, 2022",Josh Culibao,SeungWoo Choi,win
"June 11, 2022",Maheshate,Steve Garcia,win
"June 11, 2022",Brendan Allen,Jacob Malkoun,win
"June 11, 2022",Kyung Ho Kang,Batgerel Danaa,win
"June 11, 2022",Silvana Gomez Juarez,Liang Na,win
"June 11, 2022",Joselyne Edwards,Ramona Pascual,win
